"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Human_Health","Water_Supply","Sulfide_H2S","mg/l","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Human_Health","Water_Supply","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.5","","","Data Gap"
"Human_Health","Water_Supply","Uranium","ug/l","Total",0,"","","","","","","","","","","","16.8","","","Data Gap"
"Human_Health","Water_Supply","Zinc","ug/l","Total",252,"85","CORIVWCH_WQX","0","13","444","","1992-04-22","0","35.7","","","5000","FALSE","FALSE","Good"
"Human_Health","Fish_Ingestion","Antimony","ug/l","Total",0,"","","","","","","","","","","","640","","","Data Gap"
"Human_Health","Fish_Ingestion","Arsenic","ug/l","Total",113,"108","CORIVWCH_WQX","0","0","159","","2008-02-28","0","0","","","7.6","TRUE","FALSE","Good"
"Human_Health","Fish_Ingestion","Nickel","ug/l","Total",0,"","","","","","","","","","","","4600","","","Data Gap"
"Human_Health","Fish_Ingestion","Selenium","ug/l","Total",109,"62","CORIVWCH_WQX","0","0","50.1","","2007-09-25","0","7.24","","","4200","FALSE","FALSE","Good"
"Human_Health","Fish_Ingestion","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.47","","","Data Gap"
"Human_Health","Fish_Ingestion","Zinc","ug/l","Total",252,"85","CORIVWCH_WQX","0","13","444","","1992-04-22","0","35.7","","","26000","FALSE","FALSE","Good"
"Human_Health","Fish_Water","Antimony","ug/l","Total",0,"","","","","","","","","","","","5.6","","","Data Gap"
"Human_Health","Fish_Water","Arsenic","ug/l","Total",113,"108","CORIVWCH_WQX","0","0","159","","2008-02-28","0","0","","","0.02","TRUE","TRUE","Poor"
"Human_Health","Fish_Water","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Fish_Water","Copper","ug/l","Total",253,"83","CORIVWCH_WQX","0","1.5","31.2","","1996-04-22","0","3.7","","","1300","FALSE","FALSE","Good"
"Human_Health","Fish_Water","Nickel","ug/l","Total",0,"","","","","","","","","","","","610","","","Data Gap"
"Human_Health","Fish_Water","Selenium","ug/l","Total",109,"62","CORIVWCH_WQX","0","0","50.1","","2007-09-25","0","7.24","","","170","FALSE","FALSE","Good"
"Human_Health","Fish_Water","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.24","","","Data Gap"
"Human_Health","Fish_Water","Zinc","ug/l","Total",252,"85","CORIVWCH_WQX","0","13","444","","1992-04-22","0","35.7","","","7400","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Arsenic","ug/l","Total",113,"108","CORIVWCH_WQX","0","0","159","","2008-02-28","0","0","","","100","TRUE","FALSE","Good"
"Agriculture","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Boron","mg/l","Dissolved",0,"","","","","","","","","","","","0.75","","","Data Gap"
"Agriculture","Water_Supply","Cadmium","ug/l","Total",253,"181","CORIVWCH_WQX","0","0","0.77","","2007-09-25","0","0.21","","","10","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Copper","ug/l","Total",253,"83","CORIVWCH_WQX","0","1.5","31.2","","1996-04-22","0","3.7","","","200","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Cyanide","mg/l","Dissolved",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Agriculture","Water_Supply","Lead","ug/l","Total",253,"219","CORIVWCH_WQX","0","0","22.3","","2005-05-23","0","0","","","100","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Manganese","ug/l","Total",265,"12","CORIVWCH_WQX","0","32","338","","1991-05-21","14","70.6","","","200","TRUE","FALSE","Good"
"Agriculture","Water_Supply","Molybdenum","ug/l","Total",4,"4","21COL001_WQX","","","","","","","","","","160","","","Poor Resolution"
"Agriculture","Water_Supply","Nickel","ug/l","Total",0,"","","","","","","","","","","","200","","","Data Gap"
"Agriculture","Water_Supply","Nitrate_N","mg/l as N","Dissolved",4,"0","USGS-CO","0.1","0.115","0.14","","1995-03-26","0.1045","0.131","","","100","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Nitrite_N","mg/l as N","Dissolved",7,"6","USGS-CO","0","0","0.01","","1994-09-07","0","0.000999999999999997","","","10","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Selenium","ug/l","Total",109,"62","CORIVWCH_WQX","0","0","50.1","","2007-09-25","0","7.24","","","20","TRUE","FALSE","Good"
"Agriculture","Water_Supply","Zinc","ug/l","Total",252,"85","CORIVWCH_WQX","0","13","444","","1992-04-22","0","35.7","","","2000","FALSE","FALSE","Good"
